zona,area_quartos,enderecos_lista,aluguel
norte,65 m² construídos2 quartos,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.400
norte,54 m² construídos2 quartos,"Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.500
norte,28 m² construídos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",750
norte,45 m² construídos2 quartos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.000
norte,110 m² construídos2 quartos,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2.200
norte,35 m² construídos1 quarto,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",900
norte,80 m² construídos3 quartos,"Rua Lavinio Salles Arcuri,
                613, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.100
norte,525 m² construídos,"Avenida Professor Celestino Bourroul,
                425, Limão, São Paulo Zona Norte, São Paulo",14.000
norte,600 m² construídos,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",10.000
norte,100 m² construídos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",7.800
norte,70 m² construídos3 quartos,"Rua Alfredo Pujol,
                408, Santana, São Paulo Zona Norte, São Paulo",3.000
norte,"2,700 m² construídos","Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",75.000
norte,45 m² construídos2 quartos,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.800
norte,950 m² construídos,"Jardim Peri, São Paulo Zona Norte, São Paulo",21.000
norte,640 m² construídos,"Sob Consulta, Imirim, São Paulo Zona Norte, São Paulo",16.000
norte,67 m² construídos2 quartos,"Capitão Francisco Lipi, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.600
norte,70 m² construídos2 quartos,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800
norte,150 m² construídos,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",3.685
norte,50 m² construídos2 quartos,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000
norte,92 m² construídos3 quartos,"Avenida Água Fria, Água Fria, São Paulo Zona Norte, São Paulo",1.690
norte,61 m² construídos2 quartos,"Rua Outeiro Da Cruz, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.400
norte,50 m² construídos2 quartos,"Rua José De Figueiredo Seixas, Imirim, São Paulo Zona Norte, São Paulo",1.400
norte,70 m² construídos2 quartos,"Parque Domingos Luís, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.300
norte,200 m² construídos3 quartos,"Rua Amândio Monteiro, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.000
norte,52 m² construídos2 quartos,"Avenida Doutor Francisco Ranieri, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.300
