zona,enderecos_lista,aluguel,area,quartos
norte,"Parque Domingos Luís, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.300,70.0,2.0
norte,"Rua Amândio Monteiro, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.000,200.0,3.0
norte,"Avenida Doutor Francisco Ranieri, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.300,52.0,2.0
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15.0,1.0
norte,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",1.400,50.0,2.0
norte,"Rua Rio Verde, Vila Bruna, São Paulo Zona Norte, São Paulo",970,80.0,2.0
norte,"Rua Francisco Shigueki Nomura, Imirim, São Paulo Zona Norte, São Paulo",660,15.0,1.0
norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",1.500,60.0,2.0
norte,"Avenida Boschetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.080,68.0,2.0
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",900,60.0,1.0
norte,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",990,50.0,2.0
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1.200,100.0,2.0
norte,"Rua Nicolau Tolentino De Almeida, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.100,58.0,2.0
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15.0,1.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.370,48.0,1.0
norte,"Rua Angelina Pena Botto, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.100,40.0,1.0
norte,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.330,160.0,3.0
norte,"Rua Crisciúma, Jardim Brasil, São Paulo Zona Norte, São Paulo",4.500,500.0,6.0
norte,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.120,55.0,2.0
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.250,40.0,1.0
norte,"Rua Sampaio Leite, Jardim Rossin, São Paulo Zona Norte, São Paulo",800,50.0,1.0
norte,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",1.040,24.0,1.0
norte,"Rua João Burjakian, Lauzane Paulista, São Paulo Zona Norte, São Paulo",890,36.0,1.0
norte,"Rua João Rudge, Casa Verde, São Paulo Zona Norte, São Paulo",1.400,55.0,1.0
norte,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",3.950,70.0,2.0
norte,"Ataliba Vieira, Vila Medeiros, São Paulo Zona Norte, São Paulo",25.000,1600.0,
norte,"Avenida Mandaqui, Limão, São Paulo Zona Norte, São Paulo",1.800,49.0,2.0
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.550,52.0,2.0
norte,"Rua Adelfa De Figueiredo, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.100,60.0,1.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.470,132.0,3.0
norte,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1.600,58.0,2.0
norte,"Avenida Manoel Domingos Pinto, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200,45.0,2.0
norte,"Rua João Alves, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",1.500,75.0,3.0
norte,"Rua Conde Luiz E. Matarazzo, Jardim São Silvestre, São Paulo Zona Norte, São Paulo",1.050,55.0,2.0
norte,"Rua Lídia Coelho, Santana, São Paulo Zona Norte, São Paulo",1.450,28.0,1.0
norte,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.390,64.0,2.0
norte,"Rua Chico Pontes, Carandiru, São Paulo Zona Norte, São Paulo",980,24.0,1.0
norte,"Rua Vieira Martins, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.880,180.0,3.0
norte,"Rua Aluísio Azevedo, Santana, São Paulo Zona Norte, São Paulo",2.000,56.0,2.0
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750,15.0,1.0
norte,"Rua Amazonas Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.910,63.0,2.0
norte,"Rua Chico De Paula, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",8.500,354.0,5.0
norte,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",1.280,79.0,2.0
norte,"Rua Vinte E Oito De Janeiro, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",3.500,120.0,3.0
norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.339,65.0,2.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.970,110.0,3.0
norte,"Rua Albertina Vieira Da Silva Gordo, Vila Aurora, São Paulo Zona Norte, São Paulo",3.300,230.0,3.0
norte,"Rua Cecília Meireles, Jardim Japão, São Paulo Zona Norte, São Paulo",4.000,285.0,3.0
norte,"Rua Frei Vicente Do Salvador, Santana, São Paulo Zona Norte, São Paulo",2.900,160.0,3.0
norte,"Rua Rafael De Oliveira, Água Fria, São Paulo Zona Norte, São Paulo",2.300,150.0,2.0
